FECHA;PAÍS;PRECIO EN USD
1/1/2022;Argentina;4,29
1/1/2022;Australia;6,40
1/1/2022;Austria;3,80
1/1/2022;Azerbaijan;4,50
1/1/2022;Bahrain;1,50
1/1/2022;Belgium;4,55
1/1/2022;Brazil;4,58
1/1/2022;Britain;3,59
1/1/2022;Canada;6,77
1/1/2022;Chile;3,88
1/1/2022;China;4,07
1/1/2022;Colombia;3,29
1/1/2022;Costa Rica;4,13
1/1/2022;Croatia;3,94
1/1/2022;Czech Republic;4,24
1/1/2022;Denmark;5,33
1/1/2022;Egypt;2,83
1/1/2022;Estonia;3,40
1/1/2022;Euro area;4,42
1/1/2022;Finland;4,95
1/1/2022;France;4,35
1/1/2022;Germany;4,46
1/1/2022;Greece;3,40
1/1/2022;Guatemala;3,71
1/1/2022;Honduras;3,71
1/1/2022;Hong Kong;3,14
1/1/2022;Hungary;3,10
1/1/2022;India;2,57
1/1/2022;Indonesia;2,36
1/1/2022;Ireland;4,60
1/1/2022;Israel;5,67
1/1/2022;Italy;4,80
1/1/2022;Japan;3,39
1/1/2022;Jordan;2,12
1/1/2022;Kuwait;1,25
1/1/2022;Latvia;2,85
1/1/2022;Lebanon;3,26
1/1/2022;Lithuania;2,90
1/1/2022;Malaysia;2,50
1/1/2022;Mexico;3,45
1/1/2022;Moldova;2,89
1/1/2022;Netherlands;4,40
1/1/2022;New Zealand;7,00
1/1/2022;Nicaragua;3,83
1/1/2022;Norway;7,12
1/1/2022;Oman;1,15
1/1/2022;Pakistan;3,35
1/1/2022;Peru;4,30
1/1/2022;Philippines;2,84
1/1/2022;Poland;3,52
1/1/2022;Portugal;3,45
1/1/2022;Qatar;4,33
1/1/2022;Romania;2,65
1/1/2022;Russia;1,75
1/1/2022;Saudi Arabia;5,00
1/1/2022;Singapore;5,90
1/1/2022;Slovakia;3,80
1/1/2022;Slovenia;2,80
1/1/2022;South Africa;2,66
1/1/2022;South Korea;3,82
1/1/2022;Spain;4,58
1/1/2022;Sri Lanka;4,16
1/1/2022;Sweden;6,00
1/1/2022;Switzerland;6,50
1/1/2022;Taiwan;2,78
1/1/2022;Thailand;3,88
1/1/2022;Turkey;1,92
1/1/2022;Ukraine;2,46
1/1/2022;United Arab Emirates;5,67
1/1/2022;United States;5,04
1/1/2022;Uruguay;5,43
1/1/2022;Venezuela;5,75
1/1/2022;Vietnam;3,05
